time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa10_exact,enrolments_pa10_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201617,local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Pupil Referral Unit,5,696,106921,50091,37194,12897,46.8,34.8,12.1,586,84.2,4813,504,8,287,704,47,.,1595,29236,37194,116,718,12063,0,12897,50091
six half terms,201617,local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Pupil Referral Unit,8,545,123903,52867,34166,18701,42.7,27.6,15.1,474,87,5943,798,41,1412,204,269,.,2267,23232,34166,230,392,18073,6,18701,52867
six half terms,201617,local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Pupil Referral Unit,1,77,17941,6501,4369,2132,36.2,24.4,11.9,59,76.6,580,95,0,100,0,0,.,366,3228,4369,0,401,1727,4,2132,6501
six half terms,201617,local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Pupil Referral Unit,3,563,60252,19914,9518,10396,33.1,15.8,17.3,385,68.4,2304,398,0,4,38,22,.,716,6036,9518,269,304,9823,0,10396,19914
six half terms,201617,local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Pupil Referral Unit,2,507,131405,32166,19448,12718,24.5,14.8,9.7,343,67.7,5048,955,36,722,92,30,.,3377,9188,19448,181,63,12473,1,12718,32166
six half terms,201617,local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Pupil Referral Unit,3,353,65837,10793,10247,546,16.4,15.6,0.8,196,55.5,1420,136,0,28,0,30,.,42,498,2154,2,4,347,69,422,2576
six half terms,201617,local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Pupil Referral Unit,1,63,11797,2056,794,1262,17.4,6.7,10.7,37,58.7,383,156,0,0,12,16,.,95,132,794,48,24,1188,2,1262,2056
six half terms,201617,local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Pupil Referral Unit,1,253,30618,8948,5085,3863,29.2,16.6,12.6,165,65.2,1334,167,0,218,0,26,.,491,2849,5085,112,2,3725,24,3863,8948
six half terms,201617,local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Pupil Referral Unit,4,392,71974,31746,25189,6557,44.1,35,9.1,323,82.4,3196,715,0,169,40,69,.,645,20355,25189,79,441,6035,2,6557,31746
six half terms,201617,local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Pupil Referral Unit,14,523,124154,50925,39696,11229,41,32,9,395,75.5,8771,694,2,490,0,115,.,1799,27825,39696,141,939,10062,87,11229,50925
